id,question,options,correct_answer,module_id,order,created_at,section_id
65,How can you verify if an email is legitimate?,"[""Check sender address carefully"", ""Click all links"", ""Download attachments"", ""Reply immediately""]",0,3,4,2025-07-17 09:31:05.72312,7
66,What is spear phishing?,"[""Mass email to everyone"", ""Targeted attack on specific individuals"", ""Fishing for compliments"", ""Spam filtering technique""]",1,3,5,2025-07-17 09:31:05.72312,7
67,Which URL is most likely to be malicious?,"[""https://company.com/login"", ""https://c0mpany.com/login"", ""https://www.company.com"", ""https://secure.company.com""]",1,3,6,2025-07-17 09:31:05.72312,7
68,What is the best practice when clicking email links?,"[""Always click immediately"", ""Hover to preview destination"", ""Copy and paste into browser"", ""Never click any links""]",2,3,7,2025-07-17 09:31:05.72312,7
69,What is the most effective way to protect against malware?,"[""Disable antivirus"", ""Keep software updated and use antivirus"", ""Open all email attachments"", ""Download from any website""]",1,4,1,2025-07-17 09:31:21.121416,7
70,What should you do if you suspect your computer has malware?,"[""Continue working normally"", ""Disconnect from network and report to IT"", ""Try to fix it yourself"", ""Restart the computer""]",1,4,2,2025-07-17 09:31:21.121416,7
71,Which of the following is a common sign of ransomware infection?,"[""Faster computer performance"", ""Files become encrypted or inaccessible"", ""More available storage space"", ""Improved internet speed""]",1,4,3,2025-07-17 09:31:21.121416,7
72,What is the best practice for email attachments?,"[""Open all attachments immediately"", ""Only open expected attachments from trusted sources"", ""Never open any attachments"", ""Forward all attachments to colleagues""]",1,4,4,2025-07-17 09:31:21.121416,7
73,How often should you backup your important data?,"[""Never"", ""Once a year"", ""Regularly and test restoration"", ""Only when reminded""]",2,4,5,2025-07-17 09:31:21.121416,7
74,What is a common delivery method for ransomware?,"[""Software updates"", ""Malicious email attachments"", ""Legitimate websites"", ""Antivirus software""]",1,4,6,2025-07-17 09:31:21.121416,7
75,Which type of software should you avoid downloading?,"[""Antivirus software"", ""Cracked or pirated software"", ""Operating system updates"", ""Legitimate business applications""]",1,4,7,2025-07-17 09:31:21.121416,7
76,What is the first step if you receive a ransomware demand?,"[""Pay immediately"", ""Negotiate the price"", ""Report to IT and law enforcement"", ""Try to decrypt files yourself""]",2,4,8,2025-07-17 09:31:21.121416,7
77,What is the highest level of data classification typically used in organizations?,"[""Public"", ""Internal"", ""Confidential"", ""Top Secret""]",2,5,1,2025-07-17 09:31:34.770475,7
78,Which regulation primarily governs data privacy in the European Union?,"[""CCPA"", ""GDPR"", ""HIPAA"", ""SOX""]",1,5,2,2025-07-17 09:31:34.770475,7
79,How should confidential data be transmitted?,"[""Plain email"", ""Encrypted channels"", ""Text messages"", ""Social media""]",1,5,3,2025-07-17 09:31:34.770475,7
80,What is the principle of data minimization?,"[""Collect as much data as possible"", ""Only collect data necessary for the purpose"", ""Share data with everyone"", ""Store data indefinitely""]",1,5,4,2025-07-17 09:31:34.770475,7
81,What should you do if you accidentally send confidential data to the wrong recipient?,"[""Do nothing"", ""Immediately notify security team"", ""Ask recipient to delete"", ""Send more data to confuse them""]",1,5,5,2025-07-17 09:31:34.770475,7
82,Which of the following is considered Personal Identifiable Information (PII)?,"[""Company stock price"", ""Social security number"", ""Public company address"", ""Product catalog""]",1,5,6,2025-07-17 09:31:34.770475,7
83,How long should personal data be retained?,"[""Forever"", ""Only as long as necessary for the purpose"", ""Exactly 5 years"", ""Until the company closes""]",1,5,7,2025-07-17 09:31:34.770475,7
84,What is the right to erasure in GDPR also known as?,"[""Right to data portability"", ""Right to be forgotten"", ""Right to rectification"", ""Right to object""]",1,5,8,2025-07-17 09:31:34.770475,7
85,Which practice helps ensure data privacy compliance?,"[""Sharing data freely"", ""Regular privacy impact assessments"", ""Ignoring data requests"", ""Storing data in multiple locations""]",1,5,9,2025-07-17 09:31:34.770475,7
86,What is the first step when you discover a security incident?,"[""Fix it yourself"", ""Ignore it"", ""Immediately report to security team"", ""Wait until tomorrow""]",2,6,1,2025-07-17 09:31:50.1573,7
87,Which of the following is considered a security incident?,"[""Slow internet connection"", ""Unauthorized access to systems"", ""Scheduled maintenance"", ""Software update""]",1,6,2,2025-07-17 09:31:50.1573,7
88,What information should be included in an incident report?,"[""Only the time it occurred"", ""What happened, when, and who was affected"", ""Just your name"", ""Nothing specific""]",1,6,3,2025-07-17 09:31:50.1573,7
89,How should you preserve evidence during a security incident?,"[""Delete everything"", ""Take screenshots and avoid changing anything"", ""Try to fix the problem"", ""Share it on social media""]",1,6,4,2025-07-17 09:31:50.1573,7
90,What is the purpose of an incident response plan?,"[""To avoid all incidents"", ""To provide structured approach to handling incidents"", ""To blame individuals"", ""To hide incidents from management""]",1,6,5,2025-07-17 09:31:50.1573,7
91,Who should be notified about a security incident?,"[""Only yourself"", ""IT security team and management"", ""All employees"", ""External customers first""]",1,6,6,2025-07-17 09:31:50.1573,7
92,What is the recovery phase of incident response?,"[""Preventing future incidents"", ""Restoring systems to normal operation"", ""Documenting the incident"", ""Identifying the threat""]",1,6,7,2025-07-17 09:31:50.1573,7
93,How soon should you report a suspected security incident?,"[""Within 24 hours"", ""Immediately"", ""Next week"", ""Only if it gets worse""]",1,6,8,2025-07-17 09:31:50.1573,7
94,What should you do if you are unsure whether something is a security incident?,"[""Do nothing"", ""Report it anyway"", ""Ask a colleague to decide"", ""Wait for more evidence""]",1,6,9,2025-07-17 09:31:50.1573,7
95,Which of the following helps prevent security incidents?,"[""Ignoring security policies"", ""Regular security training and awareness"", ""Disabling security tools"", ""Sharing passwords""]",1,6,10,2025-07-17 09:31:50.1573,7
