id,question,options,correct_answer,module_id,order,created_at,section_id
35,Which practice helps ensure data privacy compliance?,"[""Sharing data freely"", ""Regular privacy impact assessments"", ""Ignoring data requests"", ""Storing data in multiple locations""]",1,5,9,2025-07-17 09:31:34.770475,1
36,What is the first step when you discover a security incident?,"[""Fix it yourself"", ""Ignore it"", ""Immediately report to security team"", ""Wait until tomorrow""]",2,6,1,2025-07-17 09:31:50.1573,1
37,Which of the following is considered a security incident?,"[""Slow internet connection"", ""Unauthorized access to systems"", ""Scheduled maintenance"", ""Software update""]",1,6,2,2025-07-17 09:31:50.1573,1
38,What information should be included in an incident report?,"[""Only the time it occurred"", ""What happened, when, and who was affected"", ""Just your name"", ""Nothing specific""]",1,6,3,2025-07-17 09:31:50.1573,1
39,How should you preserve evidence during a security incident?,"[""Delete everything"", ""Take screenshots and avoid changing anything"", ""Try to fix the problem"", ""Share it on social media""]",1,6,4,2025-07-17 09:31:50.1573,1
40,What is the purpose of an incident response plan?,"[""To avoid all incidents"", ""To provide structured approach to handling incidents"", ""To blame individuals"", ""To hide incidents from management""]",1,6,5,2025-07-17 09:31:50.1573,1
41,Who should be notified about a security incident?,"[""Only yourself"", ""IT security team and management"", ""All employees"", ""External customers first""]",1,6,6,2025-07-17 09:31:50.1573,1
42,What is the recovery phase of incident response?,"[""Preventing future incidents"", ""Restoring systems to normal operation"", ""Documenting the incident"", ""Identifying the threat""]",1,6,7,2025-07-17 09:31:50.1573,1
43,How soon should you report a suspected security incident?,"[""Within 24 hours"", ""Immediately"", ""Next week"", ""Only if it gets worse""]",1,6,8,2025-07-17 09:31:50.1573,1
44,What should you do if you are unsure whether something is a security incident?,"[""Do nothing"", ""Report it anyway"", ""Ask a colleague to decide"", ""Wait for more evidence""]",1,6,9,2025-07-17 09:31:50.1573,1
45,Which of the following helps prevent security incidents?,"[""Ignoring security policies"", ""Regular security training and awareness"", ""Disabling security tools"", ""Sharing passwords""]",1,6,10,2025-07-17 09:31:50.1573,1
